Compound	Object ID	Chemical Formula	InChI-Key	ChEBI
3,3-dimethyl-1-butanol	CPD-20998	C6H14O	InChIKey=DUXCSEISVMREAX-UHFFFAOYSA-N	
(R)-2-O-sulfonatolactate	CPD-11798	C3H4O6S	InChIKey=CSRZVBCXQYEYKY-UWTATZPHSA-L	58737
2-carboxyethyl-CoM	CPD-19008	C4H6O5S2	InChIKey=BMVIOTAEQYMCSL-UHFFFAOYSA-L	
carboxyspermidine	CPD-10012	C8H21N3O2	InChIKey=PUDIBYZCMYMCQI-ZETCQYMHSA-P	65072
(<i>E</i>)-2-pentenol	CPD-13229	C5H10O	InChIKey=BTSIZIIPFNVMHF-ONEGZZNKSA-N	89943
N-prenylagmatine	N-PRENYLAGMATINE	C10H24N4	InChIKey=VACJHYSOFQSYAC-UHFFFAOYSA-P	
1,2-dihydropyrimidine	CPD-14075	C5H8N	InChIKey=MMWRGWQTAMNAFC-UHFFFAOYSA-O	
DNA without lesion	CPD-8534			
pentan-1-ol	PENTANOL	C5H12O	InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N	44884
1-carboxynitrourea	CPD-21691	C2H2N3O5	InChIKey=UPLPXRCZPGNTBL-UHFFFAOYSA-M	
L-dihydrophenylalanine	CPD0-1557	C9H13NO2	InChIKey=IZKPUUZAGQLNCR-UHFFFAOYSA-N	
methanol	METOH	CH4O	InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N	17790
azalomycin F3a	CPD-25992	C55H93N3O17	InChIKey=UVUPYXTUQSCQRV-DFIBHIQRSA-N	
2-phospho-L-ascorbate	2-PHOSPHOASCORBATE	C6H6O9P	InChIKey=MIJPAVRNWPDMOR-ZAFYKAAXSA-K	167163
2,4-didehydro-3-deoxy-L-fuconate	CPD-13044	C6H7O5	InChIKey=CQZFXXYDOLONCO-VKHMYHEASA-M	131847
but-1-en-3-ol	CPD-19062	C4H8O	InChIKey=MKUWVMRNQOOSAT-UHFFFAOYSA-N	
(6S)-6-fluoro-5-enolpyruvoylshikimate 3-phosphate	6S-6-FLUORO-EPSP	C11H11O9FP	InChIKey=IUMNLRGFWIEEHG-RBXMUDONSA-K	
monacolin L acid	CPD-16905	C19H29O4	InChIKey=RPDSFBJYUHLDNI-MHMDBQTNSA-M	79044
propan-1-ol	PROPANOL	C3H8O	InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N	28831
2-methylbutanol	CPD-7033	C5H12O	InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N	48945
isoascorbate	CPD-20806	C6H7O6	InChIKey=CIWBSHSKHKDKBQ-MVHIGOERSA-M	51438
diethylphosphate	DIETHYLPHOSPHATE	C4H10O4P	InChIKey=UCQFCFPECQILOL-UHFFFAOYSA-M	140537
1,1-ethanediol	CPD-20501	C2H6O2	InChIKey=AZHSSKPUVBVXLK-UHFFFAOYSA-N	
L-alanine amide	CPD-11636	C3H9N2O	InChIKey=HQMLIDZJXVVKCW-REOHCLBHSA-O	74169
<i>S</i>-methyl-3-phospho-1-thio-D-glycerate	S-METHYL-3-PHOSPHO-1-THIO-D-GLYCERATE	C4H7O6PS	InChIKey=VSSDMJHMYISZJU-GSVOUGTGSA-L	57551
ethanol	ETOH	C2H6O	InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N	16236
2,3-dihydroxybenzoylglycine	CPD-9983	C9H8NO5	InChIKey=QEQVYIIYYNYLHC-UHFFFAOYSA-M	
L-ascorbate	ASCORBATE	C6H7O6	InChIKey=CIWBSHSKHKDKBQ-JLAZNSOCSA-M	38290
coenzyme F<sub>390</sub>-G	CPD-19661	C39H43N10O25P2	InChIKey=SUGJFEZHKFPZES-BANWBAIDSA-I	62786
butan-1-ol	BUTANOL	C4H10O	InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N	28885
7-hydroxyquinolin-2(1H)-one	CPD-15132	C9H7NO2	InChIKey=DBSPUDKBNOZFMX-UHFFFAOYSA-N	48987
4-methylcyclohexylamine	CPD-22920	C7H15N	InChIKey=KSMVBYPXNKCPAJ-UHFFFAOYSA-N	183280
<i>N</i>-pantoylglycyl-2-aminoethanethiol	CPD0-2596	C10H20N2O4S	InChIKey=YKYKPPNTDIEZES-QMMMGPOBSA-N	
18-hydroxycorticosterone	18-HYDROXYCORTICOSTERONE	C21H30O5	InChIKey=HFSXHZZDNDGLQN-ZVIOFETBSA-N	16485
ethyl (2<i>R</i>)-2-hydroxy-4-methylpentanoate	CPD-18931	C8H16O3	InChIKey=QRHOWVDPHIXNEN-SSDOTTSWSA-N	
<i>trans</i>-zeatin riboside	CPD-4208	C15H21N5O5	InChIKey=GOSWTRUMMSCNCW-HNNGNKQASA-N	71693
D-asparagine	CPD-3633	C4H8N2O3	InChIKey=DCXYFEDJOCDNAF-UWTATZPHSA-N	74337
<i>N</i>-hydroxy-2-acetamidofluorene	N-HYDROXY-2-ACETAMIDOFLUORENE	C15H13NO2	InChIKey=SOKUIEGXJHVFDV-UHFFFAOYSA-N	17931
cinnamyl alcohol	CINNAMYL-ALC	C9H10O	InChIKey=OOCCDEMITAIZTP-QPJJXVBHSA-N	33227
D-<i>threo</i>-sphinganine	CPD-18488	C18H40NO2	InChIKey=OTKJDMGTUTTYMP-QZTJIDSGSA-O	
hawkinsin	CPD66-101	C11H16NO6S	InChIKey=SPXVLTDISXZSFM-UQDZGUCUSA-M	
(16<i>R</i>,19<i>E</i>)-isositsirikine	CPD-21555	C21H26N2O3	InChIKey=RGXKJLTVROJBKZ-LZNZQLKFSA-N	70508
(5Z)-icosenoyl-CoA	CPD-8171	C41H68N7O17P3S	InChIKey=BSDNSNWHAZZYHM-KMYHARBQSA-J	85268
L-<i>threo</i>-sphinganine	CPD-13613	C18H40NO2	InChIKey=OTKJDMGTUTTYMP-ROUUACIJSA-O	
D-<i>myo</i>-inositol (1,2,4,5,6)-pentakisphosphate	CPD-534	C6H7O21P5	InChIKey=CTPQAXVNYGZUAJ-XCMZKKERSA-D	57798
5-aminobenzene-1,3-diol	CPD-25901	C6H7NO2	InChIKey=PDCMTKJRBAZZHL-UHFFFAOYSA-N	
3-chlorodiaminopimelate	CPD0-1502	C7H13N2O4Cl	InChIKey=UZCHFKQDEKHHGI-MROZADKFSA-N	
D-<i>myo</i>-inositol (1,2,3,4,5)-pentakisphosphate	MI-PENTAKISPHOSPHATE	C6H7O21P5	InChIKey=CTPQAXVNYGZUAJ-PTQMNWPWSA-D	177294
D-<i>myo</i>-inositol 1,3,4,5,6-pentakisphosphate	CPD-1107	C6H7O21P5	InChIKey=CTPQAXVNYGZUAJ-KXXVROSKSA-D	16322
6-(&alpha;-D-glucosaminyl)-1D-myo-inositol 1,2-cyclic phosphate	6-A-D-GLUCOSAMINYL-1D-MYO-INOSITOL-12	C12H22NO12P	InChIKey=ZULNQPCZALKHMF-AZEMDONJSA-N	52426
2-heptyl-4-quinolone	CPD-12836	C16H21NO	InChIKey=UYRHHBXYXSYGHA-UHFFFAOYSA-N	75306
D-<i>myo</i>-inositol (1,2,3,5,6) pentakisphosphate	CPD-6741	C6H7O21P5	InChIKey=CTPQAXVNYGZUAJ-UOTPTPDRSA-D	58747
1D-<i>myo</i>-inositol (1,2,3,4,6)-penta<i>kis</i>phosphate	CPD-6661	C6H7O21P5	InChIKey=CTPQAXVNYGZUAJ-QWBQGLJISA-D	57257
pinocembrin chalcone	CPD-6993	C15H12O4	InChIKey=LOYXTWZXLWHMBX-VOTSOKGWSA-N	80484
&beta;-elemene	CPD-16774	C16H26	InChIKey=RCEIWFFWCBNVIO-YTPLPTRZSA-N	
Cu<sup>II</sup>-phytate	CPD-23451	C6H6O24P6Cu	InChIKey=ARWMRCBCVDYYON-ZLVNENNRSA-B	
phytate	MI-HEXAKISPHOSPHATE	C6H6O24P6	InChIKey=IMQLKJBTEOYOSI-GPIVLXJGSA-B	58130
BM15766	CPD-11445	C22H25N2O2Cl	InChIKey=YQIGCNRBMYEJID-OWOJBTEDSA-N	
deoxylimononic acid D-ring-lactone	DEOXYLIMONONIC-ACID-D-RING-LACTONE	C26H32O9	InChIKey=BQKCYOXFBVKBDA-UHFFFAOYSA-L	15787
kaempferol 3-<i>O</i>-&beta;-D-galactoside	CPD-7260	C21H19O11	InChIKey=JPUKWEQWGBDDQB-DTGCRPNFSA-M	76104
kaempferide 3-<i>O</i>-[&beta;-<i>D</i>-glucopyranosyl-(1->2)]-[&alpha;-<i>L</i>-rhamnopyranosyl-(1->6)]-&beta;-<i>D</i>-glucopyranoside	CPD-14960	C34H41O20	InChIKey=DYZZIAIGKSRPMS-JYTSTOSVSA-M	
15-<i>cis</i>-4,4'-diapophytoene	CPD-9906	C30H48	InChIKey=NXJJBCPAGHGVJC-LIKFLUFESA-N	62738
&alpha;-D-ribose 1,5-bisphosphate	RIBOSE-15-BISPHOSPHATE	C5H8O11P2	InChIKey=AAAFZMYJJHWUPN-TXICZTDVSA-J	68688
rhamnetin 3-<i>O</i>-glucoside	CPD-14970	C22H22O12	InChIKey=PHEWILLIAJUBQE-LFXZADKFSA-N	
kaempferol 3-<i>O</i>-&beta;-D-xyloside	CPD-15540	C20H17O10	InChIKey=RNVUDWOQYYWXBJ-BWYUNELBSA-M	76272
4&alpha;,14&alpha;-dimethyl-porifersta-8,25(27)-dienol	CPD-14905	C31H52O	InChIKey=UULZCTIPCNJXAT-HRAIJHJPSA-N	
&alpha;-phenylglycidate	CPD-19557	C9H7O3	InChIKey=KJOJTPANXQIYQH-UHFFFAOYSA-M	
quercetin 3-<i>O</i>-&beta;-D-galactoside	CPD-13509	C21H19O12	InChIKey=OVSQVDMCBVZWGM-DTGCRPNFSA-M	67486
isorhamnetin 3-<i>O</i>-glucoside	CPD-14969	C22H22O12	InChIKey=CQLRUIIRRZYHHS-LFXZADKFSA-N	75750
5-methylcytidine	CPD0-2495	C10H15N3O5	InChIKey=ZAYHVCMSTBRABG-JXOAFFINSA-N	20607
3-(D-glyceryl)-diphospho-5'-guanosine	CPD-22709	C13H16N5O14P2	InChIKey=UBONPDGCIQEDRL-QWEIRQIHSA-K	147306
quercetin 3-<i>O</i>-&beta;-<i>D</i>-glucosylgalactoside	CPD-15106	C27H30O17	InChIKey=RDUAJIJVNHKTQC-PABQPRPFSA-N	
kaempferide 3-<i>O</i>-[&alpha;-<i>L</i>-rhamnosyl-(1&rarr;6)]-&beta;-<i>D</i>-glucopyranoside	CPD-14962	C28H31O15	InChIKey=XALLBOXWXDZADT-YHSXZBFWSA-M	
2-<i>epi</i>-valiolone	CPD-18780	C7H12O6	InChIKey=JCZFNXYQGNLHDQ-JWXFUTCRSA-N	131717
13-hydroxylupanine	13-HYDROXYLUPININE	C15H25N2O2	InChIKey=JVYKIBAJVKEZSQ-XHLRWWMNSA-O	18328
kaempferol 3-<i>O</i>-&beta;-<i>D</i>-glucosylgalactoside	CPD-15105	C27H29O16	InChIKey=LKZDFKLGDGSGEO-PABQPRPFSA-M	80528
7,3',5'-trimethylmyricetin	CPD-14940	C18H16O8	InChIKey=JWXGGDYYTFLUNW-UHFFFAOYSA-N	146136
<i>N</i>-phenylacetamide	N-ACETYLARYLAMINE	C8H9NO	InChIKey=FZERHIULMFGESH-UHFFFAOYSA-N	28884
N-methylethanolamine phosphate	CPD-406	C3H9NO4P	InChIKey=HZDCAHRLLXEQFY-UHFFFAOYSA-M	57781
kaempferol 3-<i>O</i>-(4"-<i>O</i>-4-coumaroyl)-glucoside	CPD-14995	C39H32O15	InChIKey=JYRGUBRIXDOXKK-GFKRHWKYSA-N	
3-hydroxypropane-1-sulfonate	CPD-24088	C3H7O4S	InChIKey=WQPMYSHJKXVTME-UHFFFAOYSA-M	
<i>N</i>-methyltryptamine	CPD-21514	C11H15N2	InChIKey=NCIKQJBVUNUXLW-UHFFFAOYSA-O	28136
carbon monoxide	CARBON-MONOXIDE	CO	InChIKey=UGFAIRIUMAVXCW-UHFFFAOYSA-N	17245
oryzalexin A	CPD-7093	C20H30O2	InChIKey=QOWLIQGNZBOQNG-JECYIRHJSA-N	78258
taurine	TAURINE	C2H7NO3S	InChIKey=XOAAWQZATWQOTB-UHFFFAOYSA-N	507393
pre-leporin C	CPD-25619	C22H27NO3	InChIKey=DNOISWJNKBCDIP-FZXANCPKSA-N	
Triton X-100	CPD-7988	C16H26O2	InChIKey=JYCQQPHGFMYQCF-UHFFFAOYSA-N	177811
quercetin-3-gentiotrioside	CPD-14821	C33H40O22	InChIKey=XXHSUYNZCSBPBG-GZIDCZEMSA-N	136780
4-sulfophenol	CPD-16868	C6H5O4S	InChIKey=FEPBITJSIHRMRT-UHFFFAOYSA-M	32354
5'-(methylsulfanyl)tubercidin	5-METHYLTHIOTUBERCIDIN	C12H16N4O3S	InChIKey=WBPLMFVTQMIPLW-MFYTUXHUSA-N	665251
2-chloro-5-hydroxylaminophenol	CPD-12618	C6H6NO2Cl	InChIKey=WVNYAOFZOVIPNB-UHFFFAOYSA-N	177748
oryzalexin S	CPD-16616	C20H32O2	InChIKey=OXKYBEZXRLIPKC-LMMYPSSLSA-N	
L-cysteate	L-CYSTEATE	C3H6NO5S	InChIKey=XVOYSCVBGLVSOL-REOHCLBHSA-M	58090
pterostilbene	CPD-6959	C16H16O3	InChIKey=VLEUZFDZJKSGMX-ONEGZZNKSA-N	8630
7,8-diketopelargonate	CPD0-1485	C9H13O4	InChIKey=LUCODFUPVSYZRC-UHFFFAOYSA-M	
3,7,3'-trimethylmyricetin	CPD-14943	C18H16O8	InChIKey=LVDBEFRVSYPLRQ-UHFFFAOYSA-N	
3-(4-sulfophenyl)butanoate	CPD-16865	C10H10O5S	InChIKey=MRXFSOHFNUZITK-UHFFFAOYSA-L	
2,6-dihydroxypseudooxynicotine	CPD-113	C10H15N2O3	InChIKey=JJJLAXLRPLCXNT-UHFFFAOYSA-O	66944
N-methylanthraniloyl-&beta;-<i>D</i>-glucopyranose	CPD-16600	C14H19NO7	InChIKey=DHAAXWJKELUANO-DIACKHNESA-N	
oryzalexin F	CPD-16615	C20H32O2	InChIKey=OJSKJQFODPKTBT-QNSYIDHGSA-N	
4-toluenesulfonate	4-TOLUENESULFONATE	C7H7O3S	InChIKey=JOXIMZWYDAKGHI-UHFFFAOYSA-M	27023
2-hydroxy-3-carboxy-4,5-cyclopropylhex-5-enoate	CPD-9737	C8H8O5	InChIKey=HEWAJTLQEJUAGF-UHFFFAOYSA-L	133310
D-tartrate	D-TARTRATE	C4H4O6	InChIKey=FEWJPZIEWOKRBE-LWMBPPNESA-L	30927
quercetin 3-<i>O</i>-gentiobioside-7-<i>O</i>-rhamnoside	CPD-15024	C33H40O21	InChIKey=UVTUVMGAQABOCL-YQJBXTIASA-N	
2-(4-pyridyl)ethanesulfonate	CPD0-2544	C7H8NO3S	InChIKey=RGIIAYDCZSXHGL-UHFFFAOYSA-M	
<i>N</i>-(2-methylpropyl)hydroxylamine	CPD-14697	C4H11NO	InChIKey=NDCGVLJXFQKXOF-UHFFFAOYSA-N	131928
narwedine	CPD-19449	C17H19NO3	InChIKey=QENVUHCAYXAROT-YOEHRIQHSA-N	7487
oryzalexin C	CPD-16614	C20H28O2	InChIKey=IOCKHKBAJGJHFL-FCNFAXOHSA-N	
2-sulfinoacetaldehyde	CPD-15830	C2H3O3S	InChIKey=GPIFJZBDHMKDSK-UHFFFAOYSA-M	142501
6-chloropurine	CPD0-2383	C5H3N4Cl	InChIKey=ZKBQDFAWXLTYKS-UHFFFAOYSA-N	177625
quinolin-2,8-diol	QUINOLIN-28-DIOL	C9H7NO2	InChIKey=ZXZKYYHTWHJHFT-UHFFFAOYSA-N	17715
cyclobrassinin	CPD-13599	C11H10N2S2	InChIKey=MVMVWNMQGBYIDM-UHFFFAOYSA-N	174193
methylmethanesulfonate	CPD-7038	C2H6O3S	InChIKey=MBABOKRGFJTBAE-UHFFFAOYSA-N	25255
(1S,2S)-3-phenoxycyclohexa-3,5-diene-1,2-diol	CPD-18740	C12H12O3	InChIKey=NNRRBGDYLHIAGC-JQWIXIFHSA-N	
<i>N</i>-(8'-oxogeranyl)-L-glutamate	CPD-22530	C15H22NO5	InChIKey=LASAIISDRHGWAN-KCXYUNALSA-M	176972
oryzalexin B	CPD-16613	C20H30O2	InChIKey=PXSLLXAAZWPICX-YMBUTIGBSA-N	
3-oxopropane-1-sulfonate	CPD-11726	C3H5O4S	InChIKey=CZJYONJVHLMKCY-UHFFFAOYSA-M	176528
morpholine	MORPHOLINE	C4H10NO	InChIKey=YNAVUWVOSKDBBP-UHFFFAOYSA-O	167868
1,2-&beta;-D-glucosyluronate-D-glucuronate	12-BETA-D-GLUCURONOSYL-D-GLUCURONATE	C12H16O13	InChIKey=IMNADAQGVSDVMI-CCLDAEICSA-L	58230
indole-3-carbinonium ion	CPD-19511	C9H8N	InChIKey=NSQIQDGIPQVASR-UHFFFAOYSA-N	
1,3-benzenedisulfonate	CPD-10428	C6H4O6S2	InChIKey=WRUAHXANJKHFIL-UHFFFAOYSA-L	73941
(4<i>R</i>,6<i>R</i>)-actinol	CPD-21423	C9H16O2	InChIKey=CSPVUHYZUZZRGF-RNFRBKRXSA-N	86399
cellobiono-1,5-lactone	CPD-379	C12H20O11	InChIKey=FSICMNGKCHFHGP-ZNLUKOTNSA-N	17863
oryzalexin D	CPD-16612	C20H32O2	InChIKey=HRWWBCRSPUEXDM-XTMWUNHTSA-N	78256
2-(4-sulfophenyl)decane	CPD-16869	C16H25O3S	InChIKey=CKICALMPWLOSSS-UHFFFAOYSA-M	
6-<i>N</i>-(4'-amino-L-glycero-&beta;-D-<I>manno</I>-heptosyl)-adenine	CPD-25572	C12H19N6O5	InChIKey=GJJCMVCAKHEDNS-VXGTYFAISA-O	
borohydride	BOROHYDRIDE	H4B	InChIKey=CROBTXVXNQNKKO-UHFFFAOYSA-N	30157
L-homocysteate	L-HOMOCYSTEATE	C4H8NO5S	InChIKey=VBOQYPQEPHKASR-UHFFFAOYSA-M	63072
4-sulfoacetophenone	CPD-16866	C8H7O4S	InChIKey=ACPXHHDRVABPNY-UHFFFAOYSA-M	
5-azaorotate	5-AZAOROTATE	C4HN3O4	InChIKey=VFKNVIQOKXHOMO-UHFFFAOYSA-L	30863
&epsilon;-aminocaproamide	CPD-7790	C6H15N2O	InChIKey=ZLHYDRXTDZFRDZ-UHFFFAOYSA-O	
7,8-dimethylmenaquinone-<i>6</i>	CPD-25548	C43H60O2	InChIKey=NETYRGJDTUMAKA-UQZHQAGBSA-N	
hydrogenobyrinate <i>a,c</i>-diamide	CPD-688	C45H58N6O12	InChIKey=BYLRAQWTUVCQLV-BRPYDKQXSA-J	27914
indol-3-ylmethyl-L-cysteine	CPDQT-427	C12H14N2O2S	InChIKey=MKYPFMIOAIZYTQ-JTQLQIEISA-N	
O(2),1,9-trimethylurate	CPD-12507	C8H10N4O3	InChIKey=IDVFNSHOEYLXJD-UHFFFAOYSA-N	
camalexin	THIAZOL-YL-INDOLE	C11H8N2S	InChIKey=IYODIJVWGPRBGQ-UHFFFAOYSA-N	22990
4-phenylbutane-1-sulfonate	CPD0-2545	C10H13O3S	InChIKey=PNLGRFATDRYEGI-UHFFFAOYSA-M	
(R)-3-((R)-3-hydroxybutanoyloxy)-butanoate	CPD-1116	C8H13O5	InChIKey=RILHUWWTCSDPAN-PHDIDXHHSA-M	10979
cis-cycloglutamate	CPD0-1440	C8H12NO4	InChIKey=FOJYRYZUTAPBAJ-UHFFFAOYSA-M	
3,3'-di(indol-3-yl)methane	CPDQT-424	C17H14N2	InChIKey=VFTRKSBEFQDZKX-UHFFFAOYSA-N	50182
6-deoxy-6-sulfo-D-fructose	CPD-16501	C6H11O8S	InChIKey=QTQNAYQDKCBJTC-VRPWFDPXSA-M	77133
1,4-dihydroxy-6,7,8-trimethoxy-2-methylanthraquinone	CPD-9632	C18H16O7	InChIKey=SLVDBDKSOJEDSU-UHFFFAOYSA-N	
isoxazolin-5-one	CPD-16448	C3H3NO2	InChIKey=HZVPJXOQDCOJRJ-UHFFFAOYSA-N	76851
2-(1,3-dioxoisoindolin-2-yl)ethanesulfonate	CPD0-1957	C10H8NO5S	InChIKey=GSLVEXPADWBUAC-UHFFFAOYSA-M	
<i>N</i>-8-mercaptooctanoylthreonine phosphate	CPD-19588	C12H21NO7PS	InChIKey=WKMFNKCCBNAWBN-KOLCDFICSA-K	
UDP-2-acetamido-2-deoxy-&alpha;-D-<i>ribo</i>-hex-3-uluronate	CPD-14560	C17H20N3O18P2	InChIKey=FQYJGWJSECSVLP-AZKAKUJRSA-K	62250
(R)-2-aminohexano-6-lactam	D-2-AMINO-HEXANO-6-LACTAM	C6H13N2O	InChIKey=BOWUOGIPSRVRSJ-RXMQYKEDSA-O	58609
3-sulfopropanoate	CPD-11727	C3H4O5S	InChIKey=OURSFPZPOXNNKX-UHFFFAOYSA-L	74031
<i>N</i>-6-mercaptohexanoyl-L-threonine phosphate	CPD-19589	C10H17NO7PS	InChIKey=PRNNQVAYHYUTOD-APPZFPTMSA-K	
three disacharide linked murein units (pentapeptide crosslinked tetrapeptide (A2pm->D-ala) tetrapeptide corsslinked tetrapeptide (A2pm->D-ala)) (middle of chain)	CPD0-2296	C114H178N22O59	InChIKey=UVVIMBIDZMDRCG-UHFFFAOYSA-N	
hemanthamine	CPD-19429	C17H19NO4	InChIKey=YGPRSGKVLATIHT-BEMMVCDISA-N	
indole-3-carbaldehyde	INDOLE-3-CARBOXALDEHYDE	C9H7NO	InChIKey=OLNJUISKUQQNIM-UHFFFAOYSA-N	28238
tauropine	CPD-305	C5H10NO5S	InChIKey=VHYQDLYSULDZSO-SCSAIBSYSA-M	57779
<i>N</i>-acetylphosphinothricyl-L-alanyl-L-leucine	CPD-18590	C16H28N3O7P	InChIKey=WOYPKYHYWGAJEK-DRZSPHRISA-L	
pseudocumene	PSEUDOCUMENE	C9H12	InChIKey=GWHJZXXIDMPWGX-UHFFFAOYSA-N	34039
2-(4-sulfophenyl)butanoate	CPD-10430	C10H10O5S	InChIKey=UBOLIQIJRBLRGQ-UHFFFAOYSA-L	
macrocin	MACROCIN	C45H76NO17	InChIKey=UFUYRGNJTFAODM-HQCAVAADSA-O	76820
indol-3-ylmethylisothiocyanate-[&gamma;-Glu-Cys}	CPD-21172	C18H21N4O5S2	InChIKey=GZOFCUCPYZIBSD-JSGCOSHPSA-M	
ethoxy(isopropylamino)phosphinate	CPD-22350	C5H13NO3P	InChIKey=HZBVGTOHTXEKRS-UHFFFAOYSA-M	156215
L-allocystathionine	CPD0-2539	C7H14N2O4S	InChIKey=ILRYLPWNYFXEMH-UHNVWZDZSA-N	
6-deoxy-6-sulfo-D-glucono-1,5-lactone	CPD-18481	C6H9O8S	InChIKey=YOMAOVCVRGQULE-SQOUGZDYSA-M	88091
<i>cis</i>-<i>trans</i>-iridodial	CPD-21279	C10H16O2	InChIKey=HMCYXRFNNOPPPR-NKSXPTFNSA-N	
1-sinapoyl-D-glucose	1-SINAPOYL-D-GLUCOSE	C17H21O10	InChIKey=KKLWTTVTWMTNBP-KYXYLJOWSA-M	141763
L-anticapsin	CPD-17509	C9H13NO4	InChIKey=KHVZXXWDPSCGEK-MGVQOFIGSA-N	84310
sulfoacetaldehyde	SULFOACETALDEHYDE	C2H3O4S	InChIKey=JTJIXCMSHWPJJE-UHFFFAOYSA-M	58246
leinamycin E	CPD-25389	C22H27N2O4S3	InChIKey=MQQYWISTTZEFMZ-BUDGZHEESA-M	
sedoheptulose anhydride	CPD-3614	C7H12O6	InChIKey=GKUQBELMWYQKKJ-BNWJMWRWSA-N	32488
L-mimosine	AMINO-ETCETERA-PYRIDIN-1-YL-PROPANOATE	C8H9N2O4	InChIKey=WZNJWVWKTVETCG-YFKPBYRVSA-M	58604
4-sulfophenyl acetate	CPD-16867	C8H7O5S	InChIKey=PCWITQSPDHVTKN-UHFFFAOYSA-M	
4-phosphooxy-L-threonine	4-PHOSPHONOOXY-THREONINE	C4H8NO7P	InChIKey=FKHAKIJOKDGEII-GBXIJSLDSA-L	58452
barbital	BARBITAL	C8H11N2O3	InChIKey=FTOAOBMCPZCFFF-UHFFFAOYSA-M	
<i>meso</i>-diaminopimelate	MESO-DIAMINOPIMELATE	C7H14N2O4	InChIKey=GMKMEZVLHJARHF-SYDPRGILSA-N	57791
aeruginosin B	CPD-10422	C14H9N3O5S	InChIKey=MAAJOYIJLQLODY-VIZOYTHASA-L	
4-<i>O</i>-methyl-DIBOA-glucoside	CPD-6627	C15H19NO9	InChIKey=SXGAXOMQODZFEX-QUNQUYFKSA-N	
minoxidil	CPD-7668	C9H15N5O	InChIKey=ZIMGGGWCDYVHOY-UHFFFAOYSA-N	6942
L-glutamine	GLN	C5H10N2O3	InChIKey=ZDXPYRJPNDTMRX-VKHMYHEASA-N	58359
orthanilate	2-AMINOBENZENESULFONATE	C6H6NO3S	InChIKey=ZMCHBSMFKQYNKA-UHFFFAOYSA-M	15942
4-aminobenzylamine	CPD-10835	C6H8N2	InChIKey=CBCKQZAAMUWICA-UHFFFAOYSA-N	51403
4-benzoyloxybutylglucosinolate	CPD-12420	C18H24NO11S2	InChIKey=IEVWTBIZULGLHA-VUPCDYMOSA-M	
n-phenyltaurine	CPD0-2543	C8H10NO3S	InChIKey=IAVHKMVGTPXJIC-UHFFFAOYSA-M	
L-lactide	CPD-9549	C6H8O4	InChIKey=JJTUDXZGHPGLLC-UHFFFAOYSA-N	177651
indol-3-ylmethylisothiocyanate-glutathione	CPDQT-434	C20H24N5O6S2	InChIKey=WJEGHYZNKDEWFC-ZFWWWQNUSA-M	
5'-(aminoiminomethyl)amino-5'-deoxyadenosine	CPD0-1401	C10H16N9O3	InChIKey=HFDJSLZFBJFTNG-KQYNXXCUSA-N	
1-hydroxy-2-oxo-3-sulfopropane	CPD-12694	C3H5O5S	InChIKey=MZULZEBLIRPPES-UHFFFAOYSA-M	
<i>L</i>-2-amino-5-phosphono-3-<i>cis</i>-pentenoate	CPD-16790	C5H9NO5P	InChIKey=TUMOUMLCWZEIRK-XDSMRRFISA-M	
1,4-bis-{[N-(1-imino-1-guanidino-methyl)]sulfanylmethyl}-3,6-dimethyl-benzene	CPD-14445	C14H26N8S2	InChIKey=UQMGTQSCMRRWFV-UHFFFAOYSA-R	
5-<i>O</i>-&beta;-mycaminosyltylactone	CPD-15947	C31H54NO8	InChIKey=BMKVJAXXBOWJEE-BPFVPZITSA-O	76802
L-2-amino-4-chloropent-4-enoate	CPD-680	C5H8NO2Cl	InChIKey=WLZNZXQYFWOBGU-BYPYZUCNSA-N	57555
3-sulfopyruvate	CPD-380	C3H2O6S	InChIKey=BUTHMSUEBYPMKJ-UHFFFAOYSA-L	57940
cyclopropane phosphatidylglycerol (dioctadec-11,12-cyclo-anoyl, n-C18:0 cyclo)	CPD0-2217	C44H82O10P	InChIKey=ACOSNNHXZDLJJE-HBLNEQHKSA-M	
neopentalenoketolactone	CPDMETA-13642	C15H17O5	InChIKey=LWQZJCWSXXFPFZ-UVAUTFSSSA-M	
(2S,3R)-capreo-mycidine 5	CPD-15414	C6H12N4O2	InChIKey=XHNWDEHKMJLKGG-DMTCNVIQSA-N	75851
ethanedisulfonate	CPD-10431	C2H4O6S2	InChIKey=AFAXGSQYZLGZPG-UHFFFAOYSA-L	
5,7-diacetamido-3,5,7,9-tetradeoxy-L-glycero-&beta;-L-manno-nonulosonate	CPD-18469	C13H21N2O8	InChIKey=ZJOSXOOPEBJBMC-RDDKKDHWSA-M	
chlorzoxazone	CPD-19390	C7H4NO2Cl	InChIKey=TZFWDZFKRBELIQ-UHFFFAOYSA-N	3655
indole-3-carbinol	CPDQT-428	C9H9NO	InChIKey=IVYPNXXAYMYVSP-UHFFFAOYSA-N	24814
